电路名,电路类型,总时间,传输时间,计算时间,内存占用,门数
sc26_cat_c16,cat,927.455660,12.795397,870.316102,274255872.00,12
sc26_cat_c4,cat,967.649300,0.802512,925.325818,274161664.00,12
sc26_cat_c8,cat,1004.252822,0.617412,936.723912,274386944.00,12
sc26_gkp_c16,gkp,886.226103,11.917000,798.317311,274649088.00,81
sc26_gkp_c4,gkp,1008.965748,6.605814,926.508746,274268160.00,81
sc26_gkp_c8,gkp,940.868832,1.559744,880.976984,274575360.00,81
sc26_jch_nq10_nm3_c16,jch,1398.230059,283.670736,1053.318383,454184960.00,390
sc26_jch_nq10_nm3_c4,jch,1320.585988,141.748574,1120.262967,275714048.00,220
sc26_jch_nq10_nm3_c8,jch,490.316766,182.696960,252.938092,275292160.00,305
sc26_jch_nq10_nm4_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq10_nm4_c4,jch,421.731537,50.237727,333.738458,275546112.00,290
sc26_jch_nq10_nm4_c8,jch,560.511772,292.487156,246.656023,454197248.00,410
sc26_jch_nq10_nm5_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq10_nm5_c4,jch,338.302724,69.537887,231.550157,282931200.00,360
sc26_jch_nq10_nm5_c8,jch,35999.746940,35435.552361,524.523414,17365622784.00,515
sc26_jch_nq10_nm6_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq10_nm6_c4,jch,696.578442,496.034067,152.817169,454197248.00,430
sc26_jch_nq10_nm6_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq10_nm7_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq10_nm7_c4,jch,7001.534436,6654.452159,324.556049,4480749568.00,500
sc26_jch_nq10_nm7_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq3_nm3_c16,jch,814.877444,492.999809,276.943029,454184960.00,355
sc26_jch_nq3_nm3_c4,jch,322.288636,7.008147,279.542278,274464768.00,185
sc26_jch_nq3_nm3_c8,jch,360.886404,19.032095,304.398053,275148800.00,270
sc26_jch_nq3_nm4_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq3_nm4_c4,jch,616.652402,114.088974,447.213905,275484672.00,255
sc26_jch_nq3_nm4_c8,jch,1118.165356,516.042646,550.417271,454225920.00,375
sc26_jch_nq3_nm5_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq3_nm5_c4,jch,508.360567,39.428329,412.226871,275546112.00,295
sc26_jch_nq3_nm5_c8,jch,43207.190523,42723.127541,444.668060,17365516288.00,435
sc26_jch_nq3_nm6_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq3_nm6_c4,jch,984.760110,544.752898,384.677678,454205440.00,335
sc26_jch_nq3_nm6_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq3_nm7_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq3_nm7_c4,jch,8814.539676,8397.577066,370.359624,4480475136.00,375
sc26_jch_nq3_nm7_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq4_nm3_c16,jch,1253.148175,750.930566,432.527965,454238208.00,360
sc26_jch_nq4_nm3_c4,jch,520.053730,10.047257,456.384381,274665472.00,190
sc26_jch_nq4_nm3_c8,jch,564.984126,35.210421,477.284821,275574784.00,275
sc26_jch_nq4_nm4_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq4_nm4_c4,jch,546.524445,10.723974,476.551691,275402752.00,260
sc26_jch_nq4_nm4_c8,jch,1390.203178,781.959346,546.187191,454164480.00,380
sc26_jch_nq4_nm5_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq4_nm5_c4,jch,600.778286,77.117773,454.901890,275869696.00,330
