电路名,电路类型,总时间,编译时间,模拟时间,CPU内存峰值,GPU显存峰值,GPU功耗峰值,GPU平均功耗,GPU利用率峰值,GPU平均利用率,门数,量子比特数
sc26_jch_nq10_nm3_c4,jch,22041.071285,21586.539182,377.235299,391671808.00,79691776.00,81.3,81.1,0,0.0,220,16
sc26_cat_c16,cat,92.618250,0.992106,57.730216,305369088.00,77594624.00,81.2,81.2,3,3.0,12,5
sc26_cat_c4,cat,94.425778,0.965908,54.461743,304898048.00,77594624.00,81.6,81.6,3,3.0,12,3
sc26_cat_c8,cat,70.385430,5.005204,33.210252,305000448.00,77594624.00,82.4,82.4,3,3.0,12,4
sc26_gkp_c16,gkp,99.066674,6.752016,56.288753,305278976.00,77594624.00,82.3,82.3,3,3.0,81,5
sc26_gkp_c4,gkp,66.196723,6.777348,30.053304,304836608.00,77594624.00,82.3,82.3,1,1.0,81,3
sc26_gkp_c8,gkp,96.751777,2.739634,59.365414,304955392.00,77594624.00,82.9,82.9,3,3.0,81,4
sc26_jch_nq10_nm4_c4,jch,11121.975669,10926.125583,159.608239,392765440.00,308281344.00,81.3,81.0,4,2.0,290,18
sc26_jch_nq3_nm3_c16,jch,482812.648059,482707.493839,90.306347,1364635648.00,77594624.00,80.6,80.6,0,0.0,355,15
sc26_jch_nq3_nm3_c4,jch,124.713967,50.190296,60.567461,373792768.00,77594624.00,82.6,82.6,3,3.0,185,9
sc26_jch_nq3_nm3_c8,jch,4859.718352,4779.818040,65.408835,395612160.00,77594624.00,80.9,80.9,0,0.0,270,12
sc26_jch_nq3_nm4_c4,jch,1203.059072,1128.838032,59.472829,374882304.00,77594624.00,80.8,80.8,0,0.0,255,11
sc26_jch_nq3_nm4_c8,jch,513501.995333,513394.976441,92.139728,1364758528.00,77594624.00,80.2,80.2,0,0.0,375,15
sc26_jch_nq3_nm5_c4,jch,22133.530894,22055.748971,63.145997,408817664.00,77594624.00,80.6,80.6,0,0.0,295,13
sc26_jch_nq3_nm6_c4,jch,466081.256645,465975.452623,91.028336,1364443136.00,77594624.00,80.7,80.7,0,0.0,335,15
sc26_jch_nq4_nm3_c16,jch,481636.020685,481530.788241,88.177832,1364377600.00,79691776.00,80.7,80.7,0,0.0,360,16
sc26_jch_nq4_nm3_c4,jch,123.266199,50.522589,58.638188,373047296.00,77594624.00,82.6,82.6,2,2.0,190,10
sc26_jch_nq4_nm3_c8,jch,4841.381558,4761.680875,65.086443,394690560.00,77594624.00,81.2,81.2,0,0.0,275,13
sc26_jch_nq4_nm4_c4,jch,1185.278910,1112.995757,57.858743,373858304.00,77594624.00,81.2,81.2,0,0.0,260,12
sc26_jch_nq4_nm4_c8,jch,513472.389410,513368.552515,88.702091,1364758528.00,79691776.00,81.1,81.1,0,0.0,380,16
sc26_jch_nq4_nm5_c4,jch,24140.251900,24061.150731,64.306740,407887872.00,77594624.00,80.8,80.8,0,0.0,330,14
sc26_jch_nq4_nm6_c4,jch,503522.550130,503418.727956,88.893741,1364635648.00,79691776.00,81.0,81.0,0,0.0,370,16
sc26_jch_nq5_nm3_c16,jch,481116.476124,481008.298242,93.023975,1364746240.00,79691776.00,80.7,80.7,0,0.0,365,17
sc26_jch_nq5_nm3_c4,jch,125.706212,51.746490,59.719060,372293632.00,77594624.00,81.8,81.8,1,1.0,195,11
sc26_jch_nq5_nm3_c8,jch,4860.900201,4787.858822,58.404539,378773504.00,77594624.00,80.7,80.7,0,0.0,280,14
sc26_jch_nq5_nm4_c4,jch,1193.366497,1120.580823,57.886982,373567488.00,77594624.00,81.2,81.2,0,0.0,265,13
sc26_jch_nq5_nm4_c8,jch,511155.844674,511048.574350,92.194677,1364516864.00,79691776.00,79.7,79.7,0,0.0,385,17
sc26_jch_nq5_nm5_c4,jch,24213.631232,24142.038186,56.560509,391806976.00,77594624.00,80.1,80.1,0,0.0,335,15
sc26_jch_nq5_nm6_c4,jch,544563.715296,544455.948397,92.595068,1364799488.00,79691776.00,80.6,80.6,0,0.0,405,17
sc26_jch_nq6_nm3_c4,jch,763.678496,347.467976,352.442114,371204096.00,715915264.00,80.3,80.3,4,2.8,200,12
sc26_jch_nq6_nm4_c4,jch,6879.005209,6484.227872,323.058430,372981760.00,979304448.00,79.1,78.9,0,0.0,270,14
sc26_jch_nq7_nm3_c4,jch,928.584320,535.858850,309.189899,371568640.00,77594624.00,79.6,79.4,4,2.0,205,13
sc26_jch_nq6_nm3_c8,jch,30224.242289,29842.621802,321.542677,378597376.00,1267138560.00,79.0,78.9,0,0.0,285,15
sc26_jch_nq7_nm4_c4,jch,7635.141525,7231.956512,317.339482,372834304.00,77594624.00,79.3,79.2,0,0.0,275,15
sc26_jch_nq7_nm3_c8,jch,31394.236686,30980.160053,327.433859,378601472.00,79691776.00,79.6,79.6,0,0.0,290,16
sc26_jch_nq6_nm5_c4,jch,165235.451986,164823.277745,319.592558,391380992.00,380960768.00,80.7,80.4,5,1.2,340,16
sc26_jch_nq7_nm5_c4,jch,159076.538304,158674.574583,316.245729,391991296.00,79691776.00,80.7,80.6,0,0.0,345,17
sc26_jch_nq8_nm3_c4,jch,1773.810083,1377.110732,311.936747,372830208.00,77594624.00,81.0,81.0,0,0.0,210,14
sc26_jch_nq8_nm3_c8,jch,31635.491784,31229.112732,322.513216,379703296.00,79691776.00,80.6,80.5,0,0.0,295,17
sc26_jch_nq8_nm4_c4,jch,8464.088430,8052.029861,317.110843,373612544.00,79691776.00,80.5,80.4,0,0.0,280,16
sc26_jch_nq8_nm5_c4,jch,164336.091903,163933.499534,317.105558,392941568.00,81788928.00,80.7,80.6,0,0.0,350,18
sc26_jch_nq9_nm3_c4,jch,5866.188636,5462.634397,317.915074,378814464.00,77594624.00,81.0,81.0,4,2.0,215,15
sc26_jch_nq9_nm3_c8,jch,36206.460539,35805.644904,319.633611,382611456.00,81788928.00,80.8,80.7,0,0.0,300,18
sc26_jch_nq9_nm4_c4,jch,12615.902894,12219.831445,311.935558,380211200.00,79691776.00,80.8,80.8,0,0.0,285,17
sc26_qaoa_nm1_c16,qaoa,293.099417,21.977519,202.679697,305356800.00,93126656.00,81.9,81.8,1,0.2,20,5
sc26_qaoa_nm1_c4,qaoa,216.689149,0.977591,138.419874,304930816.00,0.00,82.3,82.3,7,1.8,10,3
sc26_qaoa_nm1_c8,qaoa,247.387817,15.299091,123.261013,306323456.00,93126656.00,82.0,82.0,0,0.0,15,4
sc26_qaoa_nm2_c16,qaoa,1429.773797,937.880829,359.508383,372310016.00,0.00,82.5,82.4,2,1.0,40,9
sc26_qaoa_nm2_c4,qaoa,250.803262,1.659461,149.851117,305537024.00,55902208.00,82.8,82.7,7,5.2,20,5
sc26_qaoa_nm2_c8,qaoa,432.089368,51.863180,305.893796,366804992.00,63963136.00,83.4,83.2,8,7.2,30,7
sc26_qft_nq3_c16,qft,222.100108,2.660052,80.472402,305426432.00,0.00,83.0,83.0,0,0.0,40,7
sc26_qaoa_nm4_c4,qaoa,1122.156534,817.191678,247.401291,372015104.00,698875904.00,82.7,82.7,5,2.5,40,9
sc26_qft_nq3_c4,qft,194.661923,1.267165,125.920854,305156096.00,82968576.00,82.3,82.3,0,0.0,22,5
sc26_qft_nq3_c8,qft,188.156191,5.551936,124.027635,306429952.00,306184192.00,82.5,82.5,15,7.5,31,6
sc26_qft_nq5_c16,qft,194.758431,10.647805,129.680297,309653504.00,127926272.00,82.5,82.5,15,7.5,40,9
sc26_qft_nq5_c8,qft,199.495641,2.226092,134.862070,310550528.00,887685120.00,83.3,83.3,6,5.2,31,8
sc26_qft_nq5_c4,qft,198.067581,1.181245,123.628205,305500160.00,698613760.00,83.3,83.3,6,5.2,22,7
sc26_qft_nq7_c16,qft,200.299552,2.470721,113.059548,309747712.00,478150656.00,83.6,83.5,8,7.2,40,11
sc26_qft_nq7_c4,qft,192.098255,12.250806,121.921035,309649408.00,243269632.00,83.6,83.5,8,7.2,22,9
