电路名,电路类型,总时间,传输时间,计算时间,内存占用,门数
sc26_cat_c16,cat,26,7e-05,8.80482,131883008,12
sc26_cat_c4,cat,4,8.1e-05,8.80906,131883008,12
sc26_cat_c8,cat,26,7.2e-05,8.80052,131878912,12
sc26_gkp_c16,gkp,44,7.2e-05,8.80692,132161536,81
sc26_gkp_c4,gkp,44,6.6e-05,8.81266,131895296,81
sc26_gkp_c8,gkp,44,7.4e-05,8.81179,131895296,81
sc26_jch_nq10_nm3_c16,jch,5588,8.1e-05,247.488,264024064,85
sc26_jch_nq10_nm3_c4,jch,187,9.2e-05,9.7105,131903488,85
sc26_jch_nq10_nm3_c8,jch,726,7.9e-05,35.6685,146849792,85
sc26_jch_nq10_nm4_c16,jch,-1,-1,-1,-1,-1
sc26_jch_nq10_nm4_c4,jch,498,8.5e-05,22.7645,138457088,100
sc26_jch_nq10_nm4_c8,jch,7850,9.2e-05,275.766,264134656,100
sc26_jch_nq10_nm5_c16,jch,-1,-1,-1,-1,-1
sc26_jch_nq10_nm5_c4,jch,3048,8.4e-05,99.7598,163618816,115
sc26_jch_nq10_nm5_c8,jch,120989,9.8e-05,2940.25,1203552256,115
sc26_jch_nq10_nm6_c16,jch,-1,-1,-1,-1,-1
sc26_jch_nq10_nm6_c4,jch,18284,8.3e-05,406.533,264126464,130
sc26_jch_nq10_nm6_c8,jch,-1,-1,-1,-1,-1
sc26_jch_nq10_nm7_c16,jch,-1,-1,-1,-1,-1
sc26_jch_nq10_nm7_c4,jch,86257,9.2e-05,1994.88,667213824,145
sc26_jch_nq10_nm7_c8,jch,-1,-1,-1,-1,-1
sc26_jch_nq3_nm3_c16,jch,171,7.3e-05,9.40921,131891200,50
sc26_jch_nq3_nm3_c4,jch,150,6.5e-05,8.84695,131895296,50
sc26_jch_nq3_nm3_c8,jch,151,7.3e-05,8.89826,131891200,50
sc26_jch_nq3_nm4_c16,jch,1241,6.4e-05,36.8632,146845696,65
sc26_jch_nq3_nm4_c4,jch,9,8.1e-05,8.88065,131895296,65
sc26_jch_nq3_nm4_c8,jch,180,7e-05,9.47835,131895296,65
sc26_jch_nq3_nm5_c16,jch,36583,8.5e-05,740.514,398237696,75
sc26_jch_nq3_nm5_c4,jch,230,7.9e-05,9.05924,131895296,75
sc26_jch_nq3_nm5_c8,jch,170,8.1e-05,29.209,138452992,75
sc26_jch_nq3_nm6_c16,jch,-1,-1,-1,-1,-1
