Kernel,SM Instruction Active % (GM),L1TEX Active % (GM)
<unnamed>::copy_back_two_mode_tensor_gate_kernel,3.11,20.46
apply_annihilation_operator_kernel,28.54,11.96
apply_bs_subspace_gate_on_modes_kernel,53.84,8.72
apply_ckgate_multimode_kernel,54.33,5.86
apply_conditional_parity_kernel,57.17,6.01
apply_controlled_displacement_inplace_shared_kernel,86.18,0.26
apply_creation_operator_kernel,29.01,11.37
apply_fused_diagonal_kernel,58.28,4.65
apply_multisnap_kernel,52.51,5.81
apply_phase_rotation_kernel,57.80,6.08
apply_squeezing_ell_cached_kernel,38.20,6.86
axpy_state_vector_kernel,30.65,22.03
copy_back_ladder_kernel,3.08,20.26
copy_result_kernel,3.09,20.30
fused_copy_displacement_kernel,2.63,22.67
fused_covariance_kernel,3.80,3.16
inspect_scaled_vacuum_kernel,42.59,16.61
