backend_key,backend_label,category,workload,case_id,num_qubits,num_modes,cutoff,runtime_ms,memory_bytes,cpu_memory_bytes,gpu_memory_bytes,memory_kind,status,source,hardware,note
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm2_c4,3,2,4,4.89923,5376.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm2_c8,3,2,8,4.924824,13824.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm2_c16,3,2,16,13.84226,47616.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm2_c32,3,2,32,12.776465,182784.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c4,3,3,4,6.808471,13824.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
bqsim,BQSim,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c4,3,3,4,15.0,131899392.0,,,reported,ok,bqsim_csv,Archived GPU baseline,
bosonic_gpu,Bosonic-GPU,hybrid_dv_cv,jch,jch_simulation_circuit|num_qubits=3|num_modes=3,3,3,4,1.37114,2097152.0,,,reported,ok,bosonic_csv,Archived GPU baseline,
atlas,Atlas,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c4,3,3,4,124.713967,451387392.0,373792768.0,77594624.0,reported,ok,atlas_csv,Archived Atlas Baseline,
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c8,3,3,8,7.078534,92672.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
bqsim,BQSim,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c8,3,3,8,32.0,132169728.0,,,reported,ok,bqsim_csv,Archived GPU baseline,
bosonic_gpu,Bosonic-GPU,hybrid_dv_cv,jch,jch_simulation_circuit|num_qubits=3|num_modes=3,3,3,8,1.37056,2097152.0,,,reported,ok,bosonic_csv,Archived GPU baseline,
atlas,Atlas,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c8,3,3,8,4859.718352,473206784.0,395612160.0,77594624.0,reported,ok,atlas_csv,Archived Atlas Baseline,
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c16,3,3,16,7.086099,723456.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
bqsim,BQSim,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c16,3,3,16,157.0,132440064.0,,,reported,ok,bqsim_csv,Archived GPU baseline,
bosonic_gpu,Bosonic-GPU,hybrid_dv_cv,jch,jch_simulation_circuit|num_qubits=3|num_modes=3,3,3,16,127.659,2097152.0,,,reported,ok,bosonic_csv,Archived GPU baseline,
atlas,Atlas,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c16,3,3,16,482812.648059,1442230272.0,1364635648.0,77594624.0,reported,ok,atlas_csv,Archived Atlas Baseline,
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm3_c32,3,3,32,14.978784,5769728.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm4_c4,3,4,4,7.392099,47616.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
bqsim,BQSim,hybrid_dv_cv,jch,sc26_jch_nq3_nm4_c4,3,4,4,23.0,131907584.0,,,reported,ok,bqsim_csv,Archived GPU baseline,
bosonic_gpu,Bosonic-GPU,hybrid_dv_cv,jch,jch_simulation_circuit|num_qubits=3|num_modes=4,3,4,4,1.49682,2097152.0,,,reported,ok,bosonic_csv,Archived GPU baseline,
atlas,Atlas,hybrid_dv_cv,jch,sc26_jch_nq3_nm4_c4,3,4,4,1203.059072,452476928.0,374882304.0,77594624.0,reported,ok,atlas_csv,Archived Atlas Baseline,
hybridcvdv,Gantry,hybrid_dv_cv,jch,sc26_jch_nq3_nm4_c8,3,4,8,7.548066,723456.0,,,peak_gpu,ok,scaling_full_20260405,1x NVIDIA L20,
bqsim,BQSim,hybrid_dv_cv,jch,sc26_jch_nq3_nm4_c8,3,4,8,240.0,132444160.0,,,reported,ok,bqsim_csv,Archived GPU baseline,
